FIRE_NO,FIRE_YEAR,RSPNS_TYPC,IGN_DATE,FR_T_DTE,FIRESTATUS,FIRE_CAUSE,FIRE_CENTR,ZONE,FIRE_ID,FIRE_TYPE,INCDNT_NM,GEO_DESC,LATITUDE,LONGITUDE,SIZE_HA,FIRE_URL,FCODE,SHAPE,OBJECTID,X_COORDINATE,Y_COORDINATE
G92143,2023,Monitor,20230722171452,,Under Control,Lightning,4,9,2143,Fire,2023 Holdover G92143,Stanolind Creek,59.1076,-123.3191,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G92143,JA70003000,,15036541,1153714.0023999996,1572201.2434000033
G60655,2023,Full,20230606181608,,Under Control,Lightning,4,6,655,Fire,2023 Holdover Muskovite Lakes,East Side of Muscovite Lakes Provincial Park,55.9945,-124.0818,3215.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60655,JA70003000,,15036599,1119397.5502,1223852.5471000038
G60666,2023,Full,20230607181412,,Under Control,Lightning,4,6,666,Fire,2023 Holdover Big Creek,Omineca River,55.9468,-124.5446,166856.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60666,JA70003000,,15036600,1090705.4795999988,1217839.8981999997
G90709,2023,Modified,20230604144925,,Under Control,Lightning,4,9,709,Fire,2023 Holdover Ittsi Creek,Ittsi Creek,59.8265,-123.5519,37793.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90709,JA70003000,,15036601,1137608.6784000013,1651634.4605999966
G90713,2023,Full,20230604150948,,Under Control,Lightning,4,9,713,Fire,2023 Holdover G90713,La Biche River,59.9508,-123.874,112.25,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90713,JA70003000,,15036602,1119096.2619,1664859.9294999978
G90776,2023,Monitor,20230609154416,,Under Control,Lightning,4,9,776,Fire,2023 Holdover G90776,5km North of Beckman Creek,58.2226,-123.8847,804.46,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90776,JA70003000,,15036603,1124242.3633999994,1472594.5006000022
G90790,2023,Monitor,20230609144441,,Under Control,Lightning,4,9,790,Fire,2023 Holdover G90790,Little Sisters Mountain,57.8996,-123.6103,10,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90790,JA70003000,,15036604,1141564.0106000009,1437138.4241000065
G90810,2023,Monitor,20230609141536,,Under Control,Lightning,4,9,810,Fire,2023 Holdover G90810,North Richards Creek,57.651,-123.6047,500,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90810,JA70003000,,15036605,1142838.3397999997,1409444.8842999972
G60853,2023,Full,20230623184737,,Under Control,Lightning,4,6,853,Fire,2023 Holdover Nation Creek,Nation River,55.2402,-123.6703,22372.75,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60853,JA70003000,,15036606,1147775.5394000006,1140471.8396999976
G50856,2023,Full,20230623193603,,Under Control,Lightning,4,5,856,Fire,2023 Holdover Katsberg Creek,2KM E of Driftwood Creek,55.8798,-126.4014,5712.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50856,JA70003000,,15036607,974941.1675000008,1209508.014599991
G60858,2023,Full,20230623195201,,Under Control,Lightning,4,6,858,Fire,2023 Holdover G60858,Fox River,57.6324,-125.9272,4638,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60858,JA70003000,,15036608,1004347.1103000001,1404963.9129000008
